t=2025-12-29T22:21:25+0530 lvl=info msg="no configuration paths supplied"
t=2025-12-29T22:21:25+0530 lvl=info msg="using configuration at default config path" path="/Users/jayanth/Library/Application Support/ngrok/ngrok.yml"
t=2025-12-29T22:21:25+0530 lvl=info msg="open config file" path="/Users/jayanth/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2025-12-29T22:21:25+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2025-12-29T22:21:26+0530 lvl=info msg="client session established" obj=tunnels.session
t=2025-12-29T22:21:26+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2025-12-29T22:40:39+0530 lvl=info msg="join connections" obj=join id=5c1cb0d040a5 l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:59720
t=2025-12-29T22:40:39+0530 lvl=info msg="join connections" obj=join id=70a7308e0330 l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:59720
t=2025-12-29T22:40:41+0530 lvl=info msg="join connections" obj=join id=f9b9fe6a35d7 l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:59729
t=2025-12-29T22:40:41+0530 lvl=info msg="join connections" obj=join id=be7e2a932397 l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:59729
t=2025-12-29T22:40:41+0530 lvl=info msg="join connections" obj=join id=6c74a2270834 l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:59729
t=2025-12-29T22:40:43+0530 lvl=info msg="join connections" obj=join id=15b2ad53e870 l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:59729
t=2025-12-29T22:40:43+0530 lvl=info msg="join connections" obj=join id=dbe7f35f50ef l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:59729
t=2025-12-29T22:41:03+0530 lvl=info msg="join connections" obj=join id=093d59cf3945 l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:59747
t=2025-12-29T22:41:06+0530 lvl=info msg="join connections" obj=join id=4ffa53b2cad0 l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:59747
t=2025-12-29T22:42:34+0530 lvl=info msg="join connections" obj=join id=e6d886ed93e3 l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:59785
t=2025-12-29T22:42:35+0530 lvl=info msg="join connections" obj=join id=2b69c040833f l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:59785
t=2025-12-29T22:42:37+0530 lvl=info msg="join connections" obj=join id=f80d20fdd193 l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:59785
t=2025-12-29T22:42:37+0530 lvl=info msg="join connections" obj=join id=beb777be8831 l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:59785
t=2025-12-29T22:42:37+0530 lvl=info msg="join connections" obj=join id=3c0dd8ea04d8 l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:59785
t=2025-12-29T22:42:39+0530 lvl=info msg="join connections" obj=join id=82ea267828f1 l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:59785
t=2025-12-29T22:42:39+0530 lvl=info msg="join connections" obj=join id=038cc2b297d2 l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:59785
t=2025-12-29T22:42:48+0530 lvl=info msg="join connections" obj=join id=b3ce7f3aa906 l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:59806
t=2025-12-29T22:42:52+0530 lvl=info msg="join connections" obj=join id=204dfbab5cc4 l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:59806
t=2025-12-29T22:43:23+0530 lvl=info msg="join connections" obj=join id=e59e32c09e7e l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:59825
t=2025-12-29T22:43:23+0530 lvl=info msg="join connections" obj=join id=74c78db3332f l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:59825
t=2025-12-29T22:43:24+0530 lvl=info msg="join connections" obj=join id=3ca0709e8d26 l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:59825
t=2025-12-29T22:44:55+0530 lvl=info msg="join connections" obj=join id=982302526d5c l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:59056
t=2025-12-29T22:44:55+0530 lvl=info msg="join connections" obj=join id=69434c0b6e11 l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:59056
t=2025-12-29T22:44:59+0530 lvl=info msg="join connections" obj=join id=a0b7bd18b92c l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:59056
t=2025-12-29T22:45:40+0530 lvl=info msg="join connections" obj=join id=b6249366c156 l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:59894
t=2025-12-29T22:48:59+0530 lvl=info msg="join connections" obj=join id=1c61b6fdafa4 l=127.0.0.1:5001 r=[2401:4900:1c26:c46:60e9:608:705c:7885]:57892
t=2025-12-29T22:48:59+0530 lvl=info msg="join connections" obj=join id=3d641f1fcd81 l=127.0.0.1:5001 r=[2401:4900:1c26:c46:60e9:608:705c:7885]:57892
t=2025-12-29T22:49:00+0530 lvl=info msg="join connections" obj=join id=09ba947e35d7 l=127.0.0.1:5001 r=[2401:4900:1c26:c46:60e9:608:705c:7885]:57892
t=2025-12-29T22:52:44+0530 lvl=info msg="join connections" obj=join id=08a3a95dc1b8 l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:60063
t=2025-12-29T22:52:45+0530 lvl=info msg="join connections" obj=join id=66f1313c3f07 l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:60063
t=2025-12-29T22:52:51+0530 lvl=info msg="join connections" obj=join id=f3304e5b86f1 l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:60072
t=2025-12-29T22:52:53+0530 lvl=info msg="join connections" obj=join id=d6fb53ba8417 l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:60072
t=2025-12-29T22:53:04+0530 lvl=info msg="join connections" obj=join id=a89e4b860d3c l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:60079
t=2025-12-29T22:53:09+0530 lvl=info msg="join connections" obj=join id=f242b386a586 l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:60088
t=2025-12-29T22:53:09+0530 lvl=info msg="join connections" obj=join id=2a6a4da3f120 l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:60088
t=2025-12-29T22:53:23+0530 lvl=info msg="join connections" obj=join id=568554f8afd8 l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:60098
t=2025-12-29T22:53:23+0530 lvl=info msg="join connections" obj=join id=b47cdab4259b l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:60098
t=2025-12-29T22:53:23+0530 lvl=info msg="join connections" obj=join id=cce48651ed5e l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:60098
t=2025-12-29T22:53:25+0530 lvl=info msg="join connections" obj=join id=8ffb09f1369e l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:60098
t=2025-12-29T22:53:25+0530 lvl=info msg="join connections" obj=join id=08b9f8486582 l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:60098
t=2025-12-29T22:53:31+0530 lvl=info msg="join connections" obj=join id=d814d556bc79 l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:60110
t=2025-12-29T22:53:36+0530 lvl=info msg="join connections" obj=join id=113dde84adbb l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:60110
t=2025-12-29T22:54:04+0530 lvl=info msg="join connections" obj=join id=a29d576f6f10 l=127.0.0.1:5001 r=[2401:4900:1c26:c46:60e9:608:705c:7885]:50060
t=2025-12-29T22:54:04+0530 lvl=info msg="join connections" obj=join id=82e5a3162833 l=127.0.0.1:5001 r=[2401:4900:1c26:c46:60e9:608:705c:7885]:50060
t=2025-12-29T22:54:04+0530 lvl=info msg="join connections" obj=join id=27bd25e4fd95 l=127.0.0.1:5001 r=[2401:4900:1c26:c46:60e9:608:705c:7885]:50060
t=2025-12-29T22:54:43+0530 lvl=info msg="join connections" obj=join id=51a3cc9ad074 l=127.0.0.1:5001 r=[2401:4900:1c26:c46:60e9:608:705c:7885]:52629
t=2025-12-29T22:54:43+0530 lvl=info msg="join connections" obj=join id=a8bbd856cc36 l=127.0.0.1:5001 r=[2401:4900:1c26:c46:60e9:608:705c:7885]:52629
t=2025-12-29T22:54:43+0530 lvl=info msg="join connections" obj=join id=74e3b42bb160 l=127.0.0.1:5001 r=[2401:4900:1c26:c46:60e9:608:705c:7885]:52629
t=2025-12-29T22:54:48+0530 lvl=info msg="join connections" obj=join id=8270fcfddff2 l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:60159
t=2025-12-29T22:54:48+0530 lvl=info msg="join connections" obj=join id=637a81e2e14b l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:60159
t=2025-12-29T22:54:48+0530 lvl=info msg="join connections" obj=join id=6e15b694adb7 l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:60159
t=2025-12-29T22:54:52+0530 lvl=info msg="join connections" obj=join id=2b544443da99 l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:60171
t=2025-12-29T22:54:52+0530 lvl=info msg="join connections" obj=join id=b209514fec3f l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:60171
t=2025-12-29T22:54:52+0530 lvl=info msg="join connections" obj=join id=3240198a1507 l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:60171
t=2025-12-29T22:55:27+0530 lvl=info msg="join connections" obj=join id=fd9c3ff35f90 l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:60197
t=2025-12-29T22:55:30+0530 lvl=info msg="join connections" obj=join id=35c32672e12b l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:60197
t=2025-12-29T22:56:10+0530 lvl=info msg="join connections" obj=join id=df9de9e9935f l=127.0.0.1:5001 r=[2401:4900:1c26:c46:60e9:608:705c:7885]:52629
t=2025-12-29T22:56:10+0530 lvl=info msg="join connections" obj=join id=e70ed4dac835 l=127.0.0.1:5001 r=[2401:4900:1c26:c46:60e9:608:705c:7885]:52629
t=2025-12-29T22:56:53+0530 lvl=info msg="join connections" obj=join id=cd69b5cf42f1 l=127.0.0.1:5001 r=[2401:4900:1c26:c46:60e9:608:705c:7885]:52629
t=2025-12-29T22:56:53+0530 lvl=info msg="join connections" obj=join id=2df3219b543b l=127.0.0.1:5001 r=[2401:4900:1c26:c46:60e9:608:705c:7885]:52629
t=2025-12-29T22:57:32+0530 lvl=info msg="join connections" obj=join id=3e9931c4a81a l=127.0.0.1:5001 r=[2401:4900:1c26:c46:60e9:608:705c:7885]:52629
t=2025-12-29T22:57:32+0530 lvl=info msg="join connections" obj=join id=d253b91df83d l=127.0.0.1:5001 r=[2401:4900:1c26:c46:60e9:608:705c:7885]:52629
t=2025-12-29T22:57:38+0530 lvl=info msg="join connections" obj=join id=5762827ef567 l=127.0.0.1:5001 r=[2401:4900:1c26:c46:60e9:608:705c:7885]:52629
t=2025-12-29T22:57:38+0530 lvl=info msg="join connections" obj=join id=3328c7e16bc7 l=127.0.0.1:5001 r=[2401:4900:1c26:c46:60e9:608:705c:7885]:52629
t=2025-12-29T22:57:47+0530 lvl=info msg="join connections" obj=join id=48f02f657973 l=127.0.0.1:5001 r=[2401:4900:1c26:c46:60e9:608:705c:7885]:52629
t=2025-12-29T22:57:48+0530 lvl=info msg="join connections" obj=join id=195ab4d02989 l=127.0.0.1:5001 r=[2401:4900:1c26:c46:60e9:608:705c:7885]:52629
t=2025-12-29T23:02:43+0530 lvl=info msg="join connections" obj=join id=1b65cc5a506c l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:60402
t=2025-12-29T23:02:43+0530 lvl=info msg="join connections" obj=join id=a7d101add54e l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:60402
t=2025-12-29T23:02:46+0530 lvl=info msg="join connections" obj=join id=4c1929f5ae61 l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:60402
t=2025-12-29T23:02:46+0530 lvl=info msg="join connections" obj=join id=350ff2db553d l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:60402
t=2025-12-29T23:02:46+0530 lvl=info msg="join connections" obj=join id=73eaac99196e l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:60402
t=2025-12-29T23:02:56+0530 lvl=info msg="join connections" obj=join id=d680388faac3 l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:60422
